"","AGE","CALC_METHODOLOGY","CANCER_SITE","DEATH_CAUSE","DISEASE","FREQ","GESTATION_THRESHOLD","HEALTH_STATUS","MEASURE","OBS_STATUS","OBS_STATUS2","ObsValue","REF_AREA","SEX","SOCIO_ECON_STATUS","TIME_PERIOD","UNIT_MEASURE"
"117","Y45T64","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"70.5","GBR","_T","_Z","2013","PT_POP_AGE"
"118","Y45T64","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"66.6","GBR","_T","_Z","2014","PT_POP_AGE"
"119","Y_GE65","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"50.2","GBR","M","_Z","2014","PT_POP_AGE"
"120","Y15T24","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"87.4","GBR","F","_Z","2014","PT_POP_AGE"
"121","Y45T64","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"67.6","GBR","M","_Z","2014","PT_POP_AGE"
"122","Y25T44","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"81.5","GBR","_T","_Z","2014","PT_POP_AGE"
"123","Y15T24","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"89.2","GBR","_T","_Z","2014","PT_POP_AGE"
"124","Y25T44","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"81.5","GBR","F","_Z","2014","PT_POP_AGE"
"125","Y25T44","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"81.4","GBR","M","_Z","2014","PT_POP_AGE"
"126","Y15T24","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"91.1","GBR","M","_Z","2014","PT_POP_AGE"
"127","Y_GE65","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"51.2","GBR","_T","_Z","2014","PT_POP_AGE"
"128","Y45T64","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"65.6","GBR","F","_Z","2014","PT_POP_AGE"
"129","Y_GE65","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"52","GBR","F","_Z","2014","PT_POP_AGE"
"130","Y_GE65","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"53.5","GBR","F","_Z","2015","PT_POP_AGE"
"131","Y45T64","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"67","GBR","F","_Z","2015","PT_POP_AGE"
"132","Y_GE65","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"53.2","GBR","_T","_Z","2015","PT_POP_AGE"
"133","Y15T24","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"88.6","GBR","M","_Z","2015","PT_POP_AGE"
