"","AGE","CALC_METHODOLOGY","CANCER_SITE","DEATH_CAUSE","DISEASE","FREQ","GESTATION_THRESHOLD","HEALTH_STATUS","MEASURE","OBS_STATUS","OBS_STATUS2","ObsValue","REF_AREA","SEX","SOCIO_ECON_STATUS","TIME_PERIOD","UNIT_MEASURE"
"65","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"80.9","SWE","M","_Z","2018","Y"
"66","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"81.5","SWE","M","_Z","2019","Y"
"67","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"80.6","SWE","M","_Z","2020","Y"
"68","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"81.3","SWE","M","_Z","2021","Y"
"69","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"81.4","SWE","M","_Z","2022","Y"
"70","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"80","CHE","_T","_Z","2000","Y"
"71","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"77","CHE","M","_Z","2000","Y"
"72","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"82.8","CHE","F","_Z","2000","Y"
"73","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"83.2","CHE","F","_Z","2001","Y"
"74","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"77.5","CHE","M","_Z","2001","Y"
"75","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"80.5","CHE","_T","_Z","2001","Y"
"76","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"80.6","CHE","_T","_Z","2002","Y"
"77","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"77.9","CHE","M","_Z","2002","Y"
"78","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"83.2","CHE","F","_Z","2002","Y"
"79","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"83.2","CHE","F","_Z","2003","Y"
"80","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"78","CHE","M","_Z","2003","Y"
"81","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"80.7","CHE","_T","_Z","2003","Y"
